Experiment Params,Variation,Accuracy,Recall,Precision,F1,Clusters,Mutual information
naive_bayes_2_clusters_silhouette_majority_voting_fusion,0,0.469 +- 0.053,0.469 +- 0.053,0.595 +- 0.055,0.504 +- 0.052,2.0 +- 0.0,100.0
naive_bayes_3_clusters_silhouette_majority_voting_fusion,0,0.483 +- 0.052,0.483 +- 0.052,0.539 +- 0.05,0.49 +- 0.048,3.0 +- 0.0,100.0
naive_bayes_compare_clusters_silhouette_majority_voting_fusion,1,0.348 +- 0.078,0.348 +- 0.078,0.729 +- 0.17,0.405 +- 0.044,4.1 +- 0.3,100.0
naive_bayes_compare_clusters_dbc_majority_voting_fusion,1,0.348 +- 0.078,0.348 +- 0.078,0.729 +- 0.17,0.405 +- 0.044,4.1 +- 0.3,100.0
naive_bayes_compare_clusters_dbc_ss_majority_voting_fusion,1,0.348 +- 0.078,0.348 +- 0.078,0.729 +- 0.17,0.405 +- 0.044,4.1 +- 0.3,100.0
classifier_selection_compare_clusters_silhouette_majority_voting_fusion,2,0.541 +- 0.045,0.541 +- 0.045,0.597 +- 0.06,0.557 +- 0.047,4.1 +- 0.3,100.0
classifier_selection_compare_clusters_dbc_majority_voting_fusion,2,0.542 +- 0.031,0.542 +- 0.031,0.606 +- 0.054,0.56 +- 0.034,4.1 +- 0.3,100.0
classifier_selection_compare_clusters_dbc_ss_majority_voting_fusion,2,0.548 +- 0.038,0.548 +- 0.038,0.58 +- 0.048,0.558 +- 0.04,4.1 +- 0.3,100.0
naive_bayes_2_clusters_silhouette_majority_voting_fusion,3,0.477 +- 0.047,0.477 +- 0.047,0.614 +- 0.064,0.519 +- 0.048,2.0 +- 0.0,75.0
naive_bayes_3_clusters_silhouette_majority_voting_fusion,3,0.495 +- 0.039,0.495 +- 0.039,0.55 +- 0.046,0.505 +- 0.039,3.0 +- 0.0,75.0
naive_bayes_2_clusters_silhouette_majority_voting_fusion,3,0.481 +- 0.044,0.481 +- 0.044,0.664 +- 0.092,0.535 +- 0.051,2.0 +- 0.0,50.0
naive_bayes_3_clusters_silhouette_majority_voting_fusion,3,0.512 +- 0.033,0.512 +- 0.033,0.58 +- 0.056,0.531 +- 0.035,3.0 +- 0.0,50.0
naive_bayes_2_clusters_silhouette_weighted_membership_fusion,4,0.472 +- 0.044,0.472 +- 0.044,0.509 +- 0.039,0.472 +- 0.042,2.0 +- 0.0,100.0
naive_bayes_3_clusters_silhouette_weighted_membership_fusion,4,0.447 +- 0.085,0.447 +- 0.085,0.537 +- 0.036,0.458 +- 0.075,3.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,124,0.538 +- 0.037,0.538 +- 0.037,0.555 +- 0.047,0.542 +- 0.04,4.1 +- 0.3,100.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,124,0.536 +- 0.037,0.536 +- 0.037,0.553 +- 0.046,0.54 +- 0.04,4.1 +- 0.3,100.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,124,0.542 +- 0.043,0.542 +- 0.043,0.562 +- 0.055,0.548 +- 0.046,4.1 +- 0.3,100.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,1234,0.478 +- 0.031,0.478 +- 0.031,0.515 +- 0.042,0.488 +- 0.032,4.1 +- 0.3,75.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,1234,0.497 +- 0.041,0.497 +- 0.041,0.522 +- 0.038,0.504 +- 0.038,4.1 +- 0.3,75.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,1234,0.477 +- 0.026,0.477 +- 0.026,0.506 +- 0.039,0.485 +- 0.031,4.1 +- 0.3,75.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,1234,0.476 +- 0.061,0.476 +- 0.061,0.504 +- 0.044,0.482 +- 0.062,4.1 +- 0.3,50.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,1234,0.489 +- 0.061,0.489 +- 0.061,0.513 +- 0.05,0.493 +- 0.063,4.1 +- 0.3,50.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,1234,0.475 +- 0.061,0.475 +- 0.061,0.508 +- 0.042,0.48 +- 0.06,4.1 +- 0.3,50.0
