Experiment Params,Variation,Accuracy,Recall,Precision,F1,Clusters,Mutual information
naive_bayes_2_clusters_majority_voting_fusion,0,0.895 +- 0.043,0.853 +- 0.079,0.878 +- 0.051,0.863 +- 0.05,2.0 +- 0.0,100.0
naive_bayes_3_clusters_majority_voting_fusion,0,0.905 +- 0.037,0.819 +- 0.068,0.967 +- 0.036,0.885 +- 0.041,3.0 +- 0.0,100.0
naive_bayes_compare_clusters_silhouette_majority_voting_fusion,1,0.895 +- 0.044,0.857 +- 0.086,0.873 +- 0.046,0.862 +- 0.051,2.0 +- 0.0,100.0
naive_bayes_compare_clusters_dbc_majority_voting_fusion,1,0.898 +- 0.058,0.903 +- 0.071,0.825 +- 0.185,0.846 +- 0.113,7.8 +- 2.04,100.0
naive_bayes_compare_clusters_dbc_ss_majority_voting_fusion,1,0.909 +- 0.058,0.884 +- 0.095,0.896 +- 0.169,0.872 +- 0.102,6.1 +- 2.844,100.0
classifier_selection_compare_clusters_silhouette_majority_voting_fusion,2,0.861 +- 0.033,0.986 +- 0.043,0.64 +- 0.107,0.769 +- 0.07,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_majority_voting_fusion,2,0.796 +- 0.175,0.761 +- 0.323,0.729 +- 0.325,0.695 +- 0.287,8.2 +- 1.833,100.0
classifier_selection_compare_clusters_dbc_ss_majority_voting_fusion,2,0.833 +- 0.176,0.723 +- 0.301,0.867 +- 0.293,0.773 +- 0.283,6.8 +- 2.4,100.0
naive_bayes_2_clusters_majority_voting_fusion,3,0.884 +- 0.049,0.838 +- 0.08,0.864 +- 0.077,0.848 +- 0.062,2.0 +- 0.0,75.0
naive_bayes_3_clusters_majority_voting_fusion,3,0.903 +- 0.042,0.814 +- 0.073,0.972 +- 0.037,0.884 +- 0.047,3.0 +- 0.0,75.0
naive_bayes_2_clusters_majority_voting_fusion,3,0.923 +- 0.045,0.87 +- 0.075,0.939 +- 0.055,0.901 +- 0.055,2.0 +- 0.0,50.0
naive_bayes_3_clusters_majority_voting_fusion,3,0.909 +- 0.038,0.82 +- 0.065,0.977 +- 0.042,0.89 +- 0.042,3.0 +- 0.0,50.0
naive_bayes_2_clusters_weighted_membership_fusion,4,0.923 +- 0.033,0.852 +- 0.06,0.967 +- 0.036,0.904 +- 0.037,2.0 +- 0.0,100.0
naive_bayes_3_clusters_weighted_membership_fusion,4,0.916 +- 0.038,0.833 +- 0.064,0.977 +- 0.031,0.898 +- 0.042,3.0 +- 0.0,100.0
naive_bayes_2_clusters_weighted_membership_entropy_fusion,4,0.917 +- 0.038,0.847 +- 0.062,0.958 +- 0.049,0.897 +- 0.044,2.0 +- 0.0,100.0
naive_bayes_3_clusters_weighted_membership_entropy_fusion,4,0.859 +- 0.134,0.775 +- 0.137,0.972 +- 0.031,0.854 +- 0.097,3.0 +- 0.0,100.0
naive_bayes_2_clusters_cluster_density_fusion,4,0.889 +- 0.041,0.84 +- 0.073,0.878 +- 0.051,0.856 +- 0.047,2.0 +- 0.0,100.0
naive_bayes_3_clusters_cluster_density_fusion,4,0.881 +- 0.053,0.846 +- 0.065,0.84 +- 0.143,0.834 +- 0.09,3.0 +- 0.0,100.0
naive_bayes_2_clusters_entropy_voting_fusion,4,0.596 +- 0.146,0.51 +- 0.141,0.971 +- 0.057,0.655 +- 0.096,2.0 +- 0.0,100.0
naive_bayes_3_clusters_entropy_voting_fusion,4,0.912 +- 0.043,0.827 +- 0.074,0.977 +- 0.038,0.894 +- 0.05,3.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,124,0.947 +- 0.048,0.919 +- 0.092,0.958 +- 0.043,0.934 +- 0.053,5.9 +- 2.7,100.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,124,0.951 +- 0.019,0.943 +- 0.052,0.929 +- 0.044,0.934 +- 0.024,7.7 +- 2.193,100.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,124,0.949 +- 0.035,0.949 +- 0.052,0.915 +- 0.077,0.93 +- 0.05,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,1234,0.961 +- 0.011,0.963 +- 0.034,0.934 +- 0.043,0.947 +- 0.015,7.1 +- 2.427,75.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,1234,0.94 +- 0.026,0.932 +- 0.044,0.91 +- 0.086,0.917 +- 0.044,8.3 +- 2.238,75.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,1234,0.953 +- 0.035,0.979 +- 0.025,0.892 +- 0.084,0.932 +- 0.052,2.0 +- 0.0,75.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,1234,0.942 +- 0.044,0.928 +- 0.097,0.934 +- 0.06,0.926 +- 0.047,6.1 +- 3.048,50.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,1234,0.946 +- 0.018,0.959 +- 0.04,0.896 +- 0.066,0.924 +- 0.028,7.7 +- 2.1,50.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,1234,0.942 +- 0.042,0.936 +- 0.083,0.921 +- 0.066,0.924 +- 0.048,2.0 +- 0.0,50.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_entropy_fusion,124,0.744 +- 0.205,0.606 +- 0.265,0.882 +- 0.297,0.702 +- 0.267,5.8 +- 2.6,100.0
classifier_selection_compare_clusters_dbc_weighted_membership_entropy_fusion,124,0.621 +- 0.244,0.432 +- 0.283,0.733 +- 0.416,0.534 +- 0.326,7.3 +- 2.326,100.0
classifier_selection_compare_clusters_silhouette_weighted_membership_entropy_fusion,124,0.956 +- 0.034,0.945 +- 0.045,0.939 +- 0.069,0.94 +- 0.046,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_entropy_fusion,1234,0.476 +- 0.215,0.277 +- 0.239,0.619 +- 0.469,0.374 +- 0.297,6.9 +- 2.948,75.0
classifier_selection_compare_clusters_dbc_weighted_membership_entropy_fusion,1234,0.561 +- 0.238,0.299 +- 0.312,0.538 +- 0.464,0.371 +- 0.349,8.4 +- 1.96,75.0
classifier_selection_compare_clusters_silhouette_weighted_membership_entropy_fusion,1234,0.942 +- 0.049,0.936 +- 0.083,0.921 +- 0.096,0.922 +- 0.064,2.0 +- 0.0,75.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_entropy_fusion,1234,0.73 +- 0.206,0.517 +- 0.394,0.667 +- 0.439,0.561 +- 0.39,6.0 +- 2.898,50.0
