Experiment Params,Variation,Accuracy,Recall,Precision,F1,Clusters,Mutual information
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,1234,0.73 +- 0.06,0.794 +- 0.133,0.575 +- 0.192,0.639 +- 0.11,3.5 +- 0.5,75.0
nb,0,0.837 +- 0.053,0.844 +- 0.083,0.792 +- 0.119,0.809 +- 0.069,-,100.0
nb,0,0.848 +- 0.056,0.858 +- 0.079,0.8 +- 0.119,0.821 +- 0.071,-,75.0
nb,0,0.837 +- 0.058,0.84 +- 0.09,0.8 +- 0.119,0.811 +- 0.07,-,50.0
svm,0,0.822 +- 0.04,0.845 +- 0.09,0.75 +- 0.075,0.789 +- 0.048,-,100.0
svm,0,0.819 +- 0.054,0.843 +- 0.101,0.742 +- 0.079,0.784 +- 0.063,-,75.0
svm,0,0.819 +- 0.045,0.829 +- 0.077,0.758 +- 0.102,0.786 +- 0.059,-,50.0
lr,0,0.83 +- 0.08,0.834 +- 0.114,0.783 +- 0.119,0.802 +- 0.094,-,100.0
lr,0,0.833 +- 0.085,0.842 +- 0.122,0.783 +- 0.119,0.806 +- 0.1,-,75.0
lr,0,0.833 +- 0.083,0.836 +- 0.116,0.792 +- 0.119,0.808 +- 0.097,-,50.0
dt,0,0.726 +- 0.098,0.702 +- 0.127,0.692 +- 0.124,0.691 +- 0.108,-,100.0
dt,0,0.752 +- 0.06,0.73 +- 0.091,0.725 +- 0.129,0.719 +- 0.076,-,75.0
dt,0,0.744 +- 0.077,0.712 +- 0.062,0.7 +- 0.163,0.7 +- 0.11,-,50.0
rf,0,0.819 +- 0.063,0.825 +- 0.093,0.767 +- 0.133,0.786 +- 0.079,-,100.0
rf,0,0.819 +- 0.058,0.842 +- 0.096,0.742 +- 0.12,0.781 +- 0.078,-,75.0
rf,0,0.83 +- 0.071,0.847 +- 0.091,0.767 +- 0.153,0.794 +- 0.094,-,50.0
gb,0,0.796 +- 0.086,0.785 +- 0.122,0.767 +- 0.143,0.767 +- 0.102,-,100.0
gb,0,0.778 +- 0.079,0.778 +- 0.123,0.725 +- 0.106,0.744 +- 0.085,-,75.0
gb,0,0.748 +- 0.086,0.726 +- 0.105,0.725 +- 0.154,0.715 +- 0.095,-,50.0
xb,0,0.815 +- 0.074,0.809 +- 0.103,0.775 +- 0.129,0.785 +- 0.089,-,100.0
xb,0,0.781 +- 0.054,0.779 +- 0.101,0.733 +- 0.117,0.747 +- 0.066,-,75.0
xb,0,0.756 +- 0.055,0.741 +- 0.076,0.708 +- 0.13,0.716 +- 0.073,-,50.0
