Experiment Params,Variation,Accuracy,Recall,Precision,F1,Clusters,Mutual information
naive_bayes_2_clusters_silhouette_majority_voting_fusion,0,0.333 +- 0.0,0.333 +- 0.0,1.0 +- 0.0,0.5 +- 0.0,2.0 +- 0.0,100.0
naive_bayes_3_clusters_silhouette_majority_voting_fusion,0,0.647 +- 0.099,0.647 +- 0.099,0.909 +- 0.045,0.711 +- 0.075,3.0 +- 0.0,100.0
naive_bayes_compare_clusters_silhouette_majority_voting_fusion,1,0.56 +- 0.127,0.56 +- 0.127,0.939 +- 0.098,0.678 +- 0.112,4.0 +- 0.0,100.0
naive_bayes_compare_clusters_dbc_majority_voting_fusion,1,0.56 +- 0.127,0.56 +- 0.127,0.939 +- 0.098,0.678 +- 0.112,4.0 +- 0.0,100.0
naive_bayes_compare_clusters_dbc_ss_majority_voting_fusion,1,0.56 +- 0.127,0.56 +- 0.127,0.939 +- 0.098,0.678 +- 0.112,4.0 +- 0.0,100.0
classifier_selection_compare_clusters_silhouette_majority_voting_fusion,2,0.533 +- 0.137,0.533 +- 0.137,0.917 +- 0.132,0.646 +- 0.13,4.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_majority_voting_fusion,2,0.54 +- 0.141,0.54 +- 0.141,0.929 +- 0.134,0.653 +- 0.135,4.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_ss_majority_voting_fusion,2,0.54 +- 0.141,0.54 +- 0.141,0.929 +- 0.134,0.653 +- 0.135,4.0 +- 0.0,100.0
naive_bayes_2_clusters_silhouette_majority_voting_fusion,3,0.333 +- 0.0,0.333 +- 0.0,1.0 +- 0.0,0.5 +- 0.0,2.0 +- 0.0,75.0
naive_bayes_3_clusters_silhouette_majority_voting_fusion,3,0.647 +- 0.099,0.647 +- 0.099,0.909 +- 0.045,0.711 +- 0.075,3.0 +- 0.0,75.0
naive_bayes_2_clusters_silhouette_majority_voting_fusion,3,0.333 +- 0.0,0.333 +- 0.0,1.0 +- 0.0,0.5 +- 0.0,2.0 +- 0.0,50.0
naive_bayes_3_clusters_silhouette_majority_voting_fusion,3,0.667 +- 0.103,0.667 +- 0.103,0.915 +- 0.043,0.726 +- 0.078,3.0 +- 0.0,50.0
naive_bayes_2_clusters_silhouette_weighted_membership_fusion,4,0.953 +- 0.06,0.953 +- 0.06,0.96 +- 0.055,0.954 +- 0.059,2.0 +- 0.0,100.0
naive_bayes_3_clusters_silhouette_weighted_membership_fusion,4,0.947 +- 0.083,0.947 +- 0.083,0.955 +- 0.079,0.947 +- 0.083,3.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,124,0.933 +- 0.079,0.933 +- 0.079,0.944 +- 0.076,0.934 +- 0.078,4.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,124,0.933 +- 0.079,0.933 +- 0.079,0.944 +- 0.076,0.934 +- 0.078,4.0 +- 0.0,100.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,124,0.933 +- 0.079,0.933 +- 0.079,0.944 +- 0.076,0.934 +- 0.078,4.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,1234,0.96 +- 0.044,0.96 +- 0.044,0.971 +- 0.03,0.961 +- 0.043,4.0 +- 0.0,75.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,1234,0.953 +- 0.052,0.953 +- 0.052,0.968 +- 0.033,0.955 +- 0.05,4.0 +- 0.0,75.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,1234,0.953 +- 0.052,0.953 +- 0.052,0.968 +- 0.033,0.955 +- 0.05,4.0 +- 0.0,75.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,1234,0.953 +- 0.079,0.953 +- 0.079,0.957 +- 0.078,0.954 +- 0.079,4.0 +- 0.0,50.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,1234,0.947 +- 0.078,0.947 +- 0.078,0.952 +- 0.077,0.947 +- 0.078,4.0 +- 0.0,50.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,1234,0.953 +- 0.079,0.953 +- 0.079,0.957 +- 0.078,0.954 +- 0.079,4.0 +- 0.0,50.0
