Experiment Params,Variation,Accuracy,Recall,Precision,F1,Clusters,Mutual information
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,1234,0.757 +- 0.057,0.663 +- 0.164,0.397 +- 0.107,0.493 +- 0.122,2.0 +- 0.0,75.0
nb,0,0.381 +- 0.029,0.304 +- 0.015,0.823 +- 0.04,0.444 +- 0.021,-,100.0
nb,0,0.377 +- 0.046,0.297 +- 0.013,0.783 +- 0.093,0.429 +- 0.023,-,75.0
nb,0,0.352 +- 0.091,0.292 +- 0.03,0.787 +- 0.114,0.422 +- 0.027,-,50.0
svm,0,0.746 +- 0.047,0.66 +- 0.154,0.333 +- 0.08,0.44 +- 0.1,-,100.0
svm,0,0.74 +- 0.045,0.638 +- 0.157,0.31 +- 0.091,0.414 +- 0.11,-,75.0
svm,0,0.734 +- 0.038,0.617 +- 0.135,0.33 +- 0.067,0.426 +- 0.077,-,50.0
lr,0,0.741 +- 0.048,0.595 +- 0.114,0.44 +- 0.096,0.503 +- 0.097,-,100.0
lr,0,0.738 +- 0.04,0.584 +- 0.084,0.44 +- 0.089,0.5 +- 0.083,-,75.0
lr,0,0.726 +- 0.051,0.578 +- 0.134,0.383 +- 0.095,0.455 +- 0.097,-,50.0
dt,0,0.679 +- 0.047,0.464 +- 0.077,0.447 +- 0.093,0.453 +- 0.082,-,100.0
dt,0,0.685 +- 0.036,0.463 +- 0.081,0.44 +- 0.128,0.448 +- 0.105,-,75.0
dt,0,0.681 +- 0.043,0.473 +- 0.08,0.463 +- 0.071,0.466 +- 0.065,-,50.0
rf,0,0.756 +- 0.035,0.686 +- 0.119,0.35 +- 0.089,0.458 +- 0.096,-,100.0
rf,0,0.744 +- 0.05,0.661 +- 0.173,0.313 +- 0.099,0.42 +- 0.118,-,75.0
rf,0,0.745 +- 0.032,0.625 +- 0.094,0.38 +- 0.079,0.469 +- 0.079,-,50.0
gb,0,0.757 +- 0.034,0.648 +- 0.097,0.413 +- 0.105,0.5 +- 0.095,-,100.0
gb,0,0.76 +- 0.047,0.644 +- 0.122,0.44 +- 0.123,0.518 +- 0.119,-,75.0
gb,0,0.737 +- 0.047,0.595 +- 0.128,0.397 +- 0.092,0.473 +- 0.1,-,50.0
xb,0,0.748 +- 0.033,0.597 +- 0.073,0.487 +- 0.115,0.53 +- 0.092,-,100.0
xb,0,0.738 +- 0.032,0.572 +- 0.053,0.477 +- 0.113,0.516 +- 0.083,-,75.0
xb,0,0.721 +- 0.029,0.542 +- 0.062,0.463 +- 0.091,0.496 +- 0.068,-,50.0
