Experiment Params,Variation,Accuracy,Recall,Precision,F1,Clusters,Mutual information
naive_bayes_2_clusters_silhouette_majority_voting_fusion,0,0.746 +- 0.041,0.668 +- 0.067,0.541 +- 0.095,0.595 +- 0.077,2.0 +- 0.0,100.0
naive_bayes_3_clusters_silhouette_majority_voting_fusion,0,0.701 +- 0.06,0.572 +- 0.079,0.665 +- 0.093,0.608 +- 0.062,3.0 +- 0.0,100.0
naive_bayes_compare_clusters_silhouette_majority_voting_fusion,1,0.725 +- 0.055,0.598 +- 0.218,0.426 +- 0.179,0.494 +- 0.191,4.6 +- 1.685,100.0
naive_bayes_compare_clusters_dbc_majority_voting_fusion,1,0.725 +- 0.055,0.598 +- 0.218,0.426 +- 0.179,0.494 +- 0.191,4.6 +- 1.685,100.0
naive_bayes_compare_clusters_dbc_ss_majority_voting_fusion,1,0.725 +- 0.055,0.598 +- 0.218,0.426 +- 0.179,0.494 +- 0.191,4.6 +- 1.685,100.0
classifier_selection_compare_clusters_silhouette_majority_voting_fusion,2,0.723 +- 0.056,0.636 +- 0.279,0.329 +- 0.201,0.416 +- 0.217,4.6 +- 1.685,100.0
classifier_selection_compare_clusters_dbc_majority_voting_fusion,2,0.727 +- 0.045,0.667 +- 0.238,0.348 +- 0.168,0.443 +- 0.186,4.6 +- 1.685,100.0
classifier_selection_compare_clusters_dbc_ss_majority_voting_fusion,2,0.741 +- 0.056,0.748 +- 0.116,0.41 +- 0.204,0.491 +- 0.205,4.6 +- 1.685,100.0
naive_bayes_2_clusters_silhouette_majority_voting_fusion,3,0.747 +- 0.043,0.704 +- 0.087,0.481 +- 0.076,0.57 +- 0.076,2.0 +- 0.0,75.0
naive_bayes_3_clusters_silhouette_majority_voting_fusion,3,0.731 +- 0.056,0.629 +- 0.082,0.601 +- 0.125,0.605 +- 0.083,3.0 +- 0.0,75.0
naive_bayes_2_clusters_silhouette_majority_voting_fusion,3,0.747 +- 0.043,0.715 +- 0.097,0.463 +- 0.075,0.56 +- 0.08,2.0 +- 0.0,50.0
naive_bayes_3_clusters_silhouette_majority_voting_fusion,3,0.75 +- 0.047,0.665 +- 0.071,0.579 +- 0.14,0.611 +- 0.093,3.0 +- 0.0,50.0
naive_bayes_2_clusters_silhouette_weighted_membership_fusion,4,0.747 +- 0.053,0.659 +- 0.085,0.568 +- 0.104,0.608 +- 0.091,2.0 +- 0.0,100.0
naive_bayes_3_clusters_silhouette_weighted_membership_fusion,4,0.722 +- 0.042,0.607 +- 0.064,0.597 +- 0.095,0.598 +- 0.061,3.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,124,0.758 +- 0.072,0.701 +- 0.124,0.486 +- 0.229,0.55 +- 0.218,4.6 +- 1.685,100.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,124,0.749 +- 0.055,0.685 +- 0.122,0.486 +- 0.169,0.556 +- 0.164,4.6 +- 1.685,100.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,124,0.745 +- 0.069,0.672 +- 0.106,0.474 +- 0.208,0.537 +- 0.201,4.6 +- 1.685,100.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,1234,0.753 +- 0.057,0.653 +- 0.232,0.467 +- 0.181,0.542 +- 0.2,4.6 +- 1.685,75.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,1234,0.755 +- 0.057,0.671 +- 0.24,0.46 +- 0.188,0.539 +- 0.203,4.6 +- 1.685,75.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,1234,0.758 +- 0.052,0.75 +- 0.092,0.463 +- 0.165,0.553 +- 0.164,4.6 +- 1.685,75.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,1234,0.764 +- 0.071,0.66 +- 0.246,0.52 +- 0.21,0.576 +- 0.218,4.6 +- 1.685,50.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,1234,0.761 +- 0.069,0.727 +- 0.098,0.493 +- 0.192,0.567 +- 0.185,4.6 +- 1.685,50.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,1234,0.749 +- 0.069,0.637 +- 0.23,0.485 +- 0.201,0.547 +- 0.209,4.6 +- 1.685,50.0
