Experiment Params,Variation,Accuracy,Recall,Precision,F1,Clusters,Mutual information
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,1234,0.961 +- 0.011,0.963 +- 0.034,0.934 +- 0.043,0.947 +- 0.015,7.1 +- 2.427,75.0
nb,0,0.93 +- 0.032,0.919 +- 0.064,0.896 +- 0.059,0.905 +- 0.043,-,100.0
nb,0,0.933 +- 0.033,0.924 +- 0.064,0.901 +- 0.065,0.91 +- 0.044,-,75.0
nb,0,0.93 +- 0.022,0.925 +- 0.042,0.887 +- 0.057,0.904 +- 0.032,-,50.0
svm,0,0.977 +- 0.022,0.981 +- 0.024,0.958 +- 0.044,0.969 +- 0.031,-,100.0
svm,0,0.977 +- 0.022,0.981 +- 0.024,0.958 +- 0.044,0.969 +- 0.031,-,75.0
svm,0,0.94 +- 0.027,0.956 +- 0.039,0.882 +- 0.064,0.916 +- 0.039,-,50.0
lr,0,0.972 +- 0.023,0.99 +- 0.02,0.934 +- 0.048,0.961 +- 0.031,-,100.0
lr,0,0.965 +- 0.018,0.985 +- 0.022,0.92 +- 0.036,0.951 +- 0.024,-,75.0
lr,0,0.935 +- 0.028,0.952 +- 0.047,0.873 +- 0.06,0.909 +- 0.039,-,50.0
dt,0,0.912 +- 0.029,0.88 +- 0.038,0.887 +- 0.066,0.882 +- 0.04,-,100.0
dt,0,0.93 +- 0.032,0.902 +- 0.058,0.916 +- 0.058,0.907 +- 0.041,-,75.0
dt,0,0.917 +- 0.035,0.885 +- 0.05,0.896 +- 0.066,0.89 +- 0.047,-,50.0
rf,0,0.967 +- 0.029,0.971 +- 0.032,0.939 +- 0.059,0.954 +- 0.04,-,100.0
rf,0,0.967 +- 0.03,0.967 +- 0.037,0.944 +- 0.058,0.954 +- 0.041,-,75.0
rf,0,0.951 +- 0.036,0.949 +- 0.055,0.92 +- 0.06,0.933 +- 0.048,-,50.0
gb,0,0.96 +- 0.025,0.962 +- 0.036,0.929 +- 0.048,0.945 +- 0.034,-,100.0
gb,0,0.967 +- 0.033,0.959 +- 0.047,0.953 +- 0.055,0.955 +- 0.043,-,75.0
gb,0,0.94 +- 0.032,0.934 +- 0.052,0.906 +- 0.047,0.919 +- 0.044,-,50.0
xb,0,0.977 +- 0.018,0.977 +- 0.023,0.962 +- 0.036,0.969 +- 0.024,-,100.0
xb,0,0.97 +- 0.018,0.968 +- 0.034,0.953 +- 0.037,0.96 +- 0.024,-,75.0
xb,0,0.939 +- 0.031,0.935 +- 0.058,0.901 +- 0.039,0.917 +- 0.04,-,50.0
